[06/Aug/2022 14:48:31] INFO [django.utils.autoreload:636] Watching for file changes with StatReloader
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:314] Waiting for apps ready_event.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:326] Apps ready_event triggered. Sending autoreload_started signal.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/products/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/crispy_forms/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/templates/allauth with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/contact/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/checkout/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/gallery/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/bag/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/news/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/members/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/home/templates with glob **/*.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary_storage/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/account/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/cloudinary/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/contact/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/news/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/members/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/home/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/products/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/bag/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/checkout/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/CI_PP5_SALT/gallery/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:280] Watching dir /workspace/.pip-modules/lib/python3.8/site-packages/crispy_forms/locale with glob **/*.mo.
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/allauth/account/utils.py first seen with mtime 1659796082.2800863
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/auth/admin.py first seen with mtime 1659796081.0040865
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/requests/hooks.py first seen with mtime 1655377032.0
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/pytz/tzfile.py first seen with mtime 1659796079.9000866
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/conf/locale/__init__.py first seen with mtime 1659796080.7600865
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/idna/__init__.py first seen with mtime 1655377029.0
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/unittest/async_case.py first seen with mtime 1655376990.0
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/migrations/__init__.py first seen with mtime 1659796081.4080865
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/CI_PP5_SALT/home/admin.py first seen with mtime 1659795711.6201186
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/stat.py first seen with mtime 1655376987.0
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/allauth/socialaccount/models.py first seen with mtime 1659796082.3040864
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/sql/query.py first seen with mtime 1659796081.4200864
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/charset.py first seen with mtime 1655376989.0
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/backends/utils.py first seen with mtime 1659796081.3960865
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/stripe/api_resources/treasury/transaction.py first seen with mtime 1659796080.5680866
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/psycopg2/extras.py first seen with mtime 1659796080.2320864
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/apps/config.py first seen with mtime 1659796080.7560866
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/backends/postgresql/features.py first seen with mtime 1659796081.4040864
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/loaders/__init__.py first seen with mtime 1659796081.4400864
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/requests/certs.py first seen with mtime 1655377032.0
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/servers/basehttp.py first seen with mtime 1659796081.3960865
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/files/__init__.py first seen with mtime 1659796081.3840864
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/extension.py first seen with mtime 1655377024.0
[06/Aug/2022 14:48:31] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/stripe/api_resources/issuing/authorization.py first seen with mtime 1659796080.5640864
